(1,(4,2))
(1,(5,2))
(1,(6,0))
(1,(0,0))
(1,(1,2))
(1,(4,2))
(1,(4,8))
(1,(1,8))
(1,(4,16))
(1,(21,16))
(1,(24,8))
(1,(21,8))
(1,(21,7))
(1,(16,7))
(1,(14,6))
(1,(12,8))
(1,(10,8))
(1,(9,7))
(1,(9,5))
(1,(6,3))
(1,(6,1))
(1,(7,0))
(1,(9,0))
(1,(11,2))
(1,(11,4))
(1,(12,5))
(1,(11,6))
(1,(14,6))
(1,(25,4))
(1,(15,2))
(1,(14,1))
(1,(11,1))
(1,(10,0))
(1,(17,0))
(1,(17,1))
(1,(16,2))
(1,(20,4))
(1,(20,3))
(1,(22,1))
(1,(20,1))
(1,(19,2))
(1,(18,1))
(1,(18,0))
(1,(24,0))
(1,(25,1))
(1,(25,4))
(1,(23,6))
(1,(21,7))
(1,(11,2))
(1,(12,1))
(1,(9,5))
(1,(10,5))
